"sample","n_individuos"
"planta_1",0
"planta_2",10
"planta_3",0
"planta_4",0
"planta_5",0
"planta_6",0
"planta_7",0
"planta_8",0
"planta_9",0
"planta_10",8
"planta_11",0
"planta_12",0
"planta_13",0
"planta_14",0
"planta_15",1
"planta_16",0
"planta_17",0
"planta_18",0
"planta_19",0
"planta_20",15
"planta_21",0
"planta_22",0
"planta_23",1
"planta_24",0
"planta_25",0
"planta_26",4
"planta_27",190
"planta_28",0
"planta_29",0
"planta_30",0
"planta_31",0
"planta_32",0
"planta_33",0
"planta_34",0
"planta_35",0
"planta_36",0
"planta_37",0
"planta_38",13
"planta_39",0
"planta_40",0
"planta_41",1
"planta_42",0
"planta_43",2
"planta_44",0
"planta_45",9
"planta_46",0
"planta_47",0
"planta_48",0
"planta_49",0
"planta_50",0
"planta_51",0
"planta_52",0
"planta_53",0
"planta_54",32
"planta_55",3
"planta_56",0
"planta_57",0
"planta_58",12
"planta_59",46
"planta_60",21
"planta_61",0
"planta_62",1
"planta_63",0
"planta_64",29
"planta_65",0
"planta_66",4
"planta_67",0
"planta_68",0
"planta_69",4
"planta_70",0
"planta_71",1
"planta_72",19
"planta_73",0
"planta_74",0
"planta_75",0
"planta_76",8
"planta_77",0
"planta_78",0
"planta_79",0
"planta_80",0
"planta_81",0
"planta_82",17
"planta_83",0
"planta_84",5
"planta_85",3
"planta_86",0
"planta_87",9
"planta_88",0
"planta_89",0
"planta_90",0
"planta_91",0
"planta_92",4
"planta_93",20
"planta_94",8
"planta_95",1
"planta_96",2
"planta_97",0
"planta_98",0
"planta_99",1
"planta_100",0
"planta_101",0
"planta_102",0
"planta_103",0
"planta_104",144
"planta_105",0
"planta_106",11
"planta_107",5
"planta_108",1
"planta_109",1
"planta_110",0
"planta_111",0
"planta_112",4
"planta_113",0
"planta_114",0
"planta_115",0
"planta_116",72
"planta_117",0
"planta_118",5
"planta_119",13
"planta_120",5
"planta_121",0
"planta_122",0
"planta_123",0
"planta_124",0
"planta_125",0
"planta_126",28
"planta_127",107
"planta_128",0
"planta_129",0
"planta_130",0
"planta_131",0
"planta_132",0
"planta_133",0
"planta_134",0
"planta_135",0
"planta_136",0
"planta_137",0
"planta_138",0
"planta_139",19
"planta_140",6
"planta_141",0
"planta_142",0
"planta_143",3
"planta_144",1
"planta_145",0
"planta_146",0
"planta_147",0
"planta_148",24
"planta_149",0
"planta_150",2
"planta_151",1
"planta_152",70
"planta_153",3
"planta_154",0
"planta_155",1
"planta_156",29
"planta_157",12
"planta_158",1
"planta_159",2
"planta_160",0
"planta_161",0
"planta_162",0
"planta_163",0
"planta_164",7
"planta_165",1
"planta_166",5
"planta_167",0
"planta_168",0
"planta_169",0
"planta_170",0
"planta_171",0
"planta_172",0
"planta_173",7
"planta_174",0
"planta_175",0
"planta_176",0
"planta_177",0
"planta_178",0
"planta_179",2
"planta_180",0
"planta_181",0
"planta_182",0
"planta_183",0
"planta_184",0
"planta_185",0
"planta_186",0
"planta_187",0
"planta_188",0
"planta_189",0
"planta_190",29
"planta_191",0
"planta_192",0
"planta_193",0
"planta_194",19
"planta_195",0
"planta_196",4
"planta_197",31
"planta_198",0
"planta_199",10
"planta_200",2
"planta_201",0
"planta_202",0
"planta_203",1
"planta_204",0
"planta_205",37
"planta_206",0
"planta_207",0
"planta_208",4
"planta_209",1
"planta_210",0
"planta_211",0
"planta_212",0
"planta_213",7
"planta_214",10
"planta_215",0
"planta_216",5
"planta_217",0
"planta_218",0
"planta_219",0
"planta_220",0
"planta_221",1
"planta_222",4
"planta_223",0
"planta_224",0
"planta_225",0
"planta_226",0
"planta_227",1
"planta_228",0
"planta_229",5
"planta_230",0
"planta_231",0
"planta_232",0
"planta_233",0
"planta_234",0
"planta_235",17
"planta_236",0
"planta_237",0
"planta_238",0
"planta_239",0
"planta_240",0
"planta_241",0
"planta_242",0
"planta_243",0
"planta_244",2
"planta_245",0
"planta_246",2
"planta_247",0
"planta_248",22
"planta_249",0
"planta_250",0
"planta_251",0
"planta_252",0
"planta_253",1
"planta_254",14
"planta_255",0
"planta_256",0
"planta_257",0
"planta_258",0
"planta_259",1
"planta_260",0
"planta_261",15
"planta_262",0
"planta_263",4
"planta_264",0
"planta_265",0
"planta_266",3
"planta_267",0
"planta_268",0
"planta_269",0
"planta_270",0
"planta_271",0
"planta_272",0
"planta_273",0
"planta_274",3
"planta_275",0
"planta_276",0
"planta_277",0
"planta_278",10
"planta_279",0
"planta_280",10
"planta_281",0
"planta_282",77
"planta_283",8
"planta_284",0
"planta_285",0
"planta_286",63
"planta_287",1
"planta_288",0
"planta_289",8
"planta_290",0
"planta_291",0
"planta_292",0
"planta_293",0
"planta_294",168
"planta_295",0
"planta_296",0
"planta_297",0
"planta_298",0
"planta_299",0
"planta_300",61
"planta_301",0
"planta_302",6
"planta_303",0
"planta_304",22
"planta_305",0
"planta_306",1
"planta_307",46
"planta_308",0
"planta_309",0
"planta_310",0
"planta_311",0
"planta_312",0
"planta_313",13
"planta_314",0
"planta_315",0
"planta_316",17
"planta_317",0
"planta_318",20
"planta_319",0
"planta_320",18
"planta_321",3
"planta_322",14
"planta_323",0
"planta_324",0
"planta_325",0
"planta_326",0
"planta_327",0
"planta_328",2
"planta_329",118
"planta_330",0
"planta_331",0
"planta_332",0
"planta_333",0
"planta_334",0
"planta_335",0
"planta_336",40
"planta_337",32
"planta_338",0
"planta_339",0
"planta_340",2
"planta_341",0
"planta_342",2
"planta_343",0
"planta_344",0
"planta_345",0
"planta_346",54
"planta_347",0
"planta_348",3
"planta_349",0
"planta_350",0
"planta_351",92
"planta_352",0
"planta_353",0
"planta_354",38
"planta_355",0
"planta_356",0
"planta_357",52
"planta_358",0
"planta_359",1
"planta_360",0
"planta_361",0
"planta_362",29
"planta_363",0
"planta_364",0
"planta_365",34
"planta_366",0
"planta_367",66
"planta_368",0
"planta_369",3
"planta_370",16
"planta_371",1
"planta_372",0
"planta_373",44
"planta_374",1
"planta_375",2
"planta_376",0
"planta_377",0
"planta_378",0
"planta_379",0
"planta_380",0
"planta_381",0
"planta_382",1
"planta_383",0
"planta_384",40
"planta_385",0
"planta_386",0
"planta_387",1
"planta_388",0
"planta_389",3
"planta_390",0
"planta_391",0
"planta_392",0
"planta_393",0
"planta_394",0
"planta_395",0
"planta_396",5
"planta_397",0
"planta_398",5
"planta_399",0
"planta_400",30
"planta_401",0
"planta_402",0
"planta_403",0
"planta_404",0
"planta_405",10
"planta_406",0
"planta_407",0
"planta_408",6
"planta_409",5
"planta_410",0
"planta_411",0
"planta_412",0
"planta_413",0
"planta_414",0
"planta_415",7
"planta_416",20
"planta_417",0
"planta_418",0
"planta_419",0
"planta_420",0
"planta_421",0
"planta_422",1
"planta_423",4
"planta_424",0
"planta_425",41
"planta_426",0
"planta_427",0
"planta_428",2
"planta_429",23
"planta_430",0
"planta_431",0
"planta_432",1
"planta_433",0
"planta_434",0
"planta_435",0
"planta_436",0
"planta_437",0
"planta_438",0
"planta_439",0
"planta_440",0
"planta_441",5
"planta_442",4
"planta_443",0
"planta_444",0
"planta_445",0
"planta_446",0
"planta_447",2
"planta_448",0
"planta_449",0
"planta_450",1
"planta_451",49
"planta_452",2
"planta_453",0
"planta_454",1
"planta_455",0
"planta_456",1
"planta_457",0
"planta_458",0
"planta_459",0
"planta_460",0
"planta_461",10
"planta_462",1
"planta_463",0
"planta_464",0
"planta_465",0
"planta_466",0
"planta_467",12
"planta_468",0
"planta_469",0
"planta_470",1
"planta_471",137
"planta_472",0
"planta_473",0
"planta_474",0
"planta_475",0
"planta_476",11
"planta_477",0
"planta_478",0
"planta_479",7
"planta_480",0
"planta_481",10
"planta_482",0
"planta_483",0
"planta_484",0
"planta_485",131
"planta_486",0
"planta_487",50
"planta_488",0
"planta_489",23
"planta_490",0
"planta_491",1
"planta_492",0
"planta_493",25
"planta_494",0
"planta_495",0
"planta_496",8
"planta_497",0
"planta_498",0
"planta_499",0
"planta_500",61
"planta_501",0
"planta_502",0
"planta_503",2
"planta_504",57
"planta_505",56
"planta_506",0
"planta_507",0
"planta_508",0
"planta_509",3
"planta_510",0
"planta_511",3
"planta_512",0
"planta_513",17
"planta_514",36
"planta_515",0
"planta_516",0
"planta_517",94
"planta_518",2
"planta_519",0
"planta_520",0
"planta_521",1
"planta_522",51
"planta_523",0
"planta_524",35
"planta_525",0
"planta_526",0
"planta_527",0
"planta_528",0
"planta_529",0
"planta_530",0
"planta_531",0
"planta_532",19
"planta_533",13
"planta_534",5
"planta_535",0
"planta_536",0
"planta_537",0
"planta_538",1
"planta_539",0
"planta_540",0
"planta_541",1
"planta_542",1
"planta_543",0
"planta_544",0
"planta_545",0
"planta_546",0
"planta_547",12
"planta_548",45
"planta_549",0
"planta_550",0
"planta_551",2
"planta_552",0
"planta_553",0
"planta_554",0
"planta_555",0
"planta_556",0
"planta_557",0
"planta_558",0
"planta_559",3
"planta_560",1
"planta_561",32
"planta_562",0
"planta_563",0
"planta_564",0
"planta_565",0
"planta_566",0
"planta_567",31
"planta_568",3
"planta_569",0
"planta_570",0
"planta_571",0
"planta_572",4
"planta_573",0
"planta_574",0
"planta_575",0
"planta_576",5
"planta_577",0
"planta_578",0
"planta_579",7
"planta_580",0
"planta_581",0
"planta_582",0
"planta_583",0
"planta_584",2
"planta_585",0
"planta_586",0
"planta_587",0
"planta_588",0
"planta_589",0
"planta_590",1
"planta_591",1
"planta_592",84
"planta_593",28
"planta_594",0
"planta_595",64
"planta_596",0
"planta_597",0
"planta_598",11
"planta_599",0
"planta_600",0
"planta_601",6
"planta_602",0
"planta_603",0
"planta_604",7
"planta_605",0
"planta_606",0
"planta_607",12
"planta_608",0
"planta_609",0
"planta_610",0
"planta_611",0
"planta_612",5
"planta_613",0
"planta_614",0
"planta_615",0
"planta_616",0
"planta_617",0
"planta_618",0
"planta_619",0
"planta_620",0
"planta_621",0
"planta_622",0
"planta_623",8
"planta_624",56
"planta_625",0
"planta_626",0
"planta_627",0
"planta_628",0
"planta_629",0
"planta_630",0
"planta_631",3
"planta_632",0
"planta_633",0
"planta_634",0
"planta_635",0
"planta_636",8
"planta_637",0
"planta_638",0
"planta_639",0
"planta_640",0
"planta_641",6
"planta_642",0
"planta_643",0
"planta_644",46
"planta_645",0
"planta_646",0
"planta_647",4
"planta_648",0
"planta_649",0
"planta_650",0
"planta_651",88
"planta_652",1
"planta_653",19
"planta_654",0
"planta_655",2
"planta_656",0
"planta_657",0
"planta_658",0
"planta_659",0
"planta_660",0
"planta_661",0
"planta_662",0
"planta_663",0
"planta_664",0
"planta_665",4
"planta_666",0
"planta_667",0
"planta_668",6
"planta_669",1
"planta_670",0
"planta_671",0
"planta_672",0
"planta_673",0
"planta_674",0
"planta_675",0
"planta_676",0
"planta_677",1
"planta_678",0
"planta_679",0
"planta_680",21
"planta_681",1
"planta_682",0
"planta_683",0
"planta_684",0
"planta_685",20
"planta_686",0
"planta_687",0
"planta_688",0
"planta_689",10
"planta_690",0
"planta_691",0
"planta_692",0
"planta_693",0
"planta_694",0
"planta_695",3
"planta_696",0
"planta_697",1
"planta_698",0
"planta_699",0
"planta_700",0
"planta_701",0
"planta_702",53
"planta_703",0
"planta_704",0
"planta_705",0
"planta_706",0
"planta_707",2
"planta_708",0
"planta_709",0
"planta_710",174
"planta_711",0
"planta_712",0
"planta_713",0
"planta_714",1
"planta_715",8
"planta_716",0
"planta_717",6
"planta_718",0
"planta_719",10
"planta_720",1
"planta_721",0
"planta_722",10
"planta_723",1
"planta_724",0
"planta_725",0
"planta_726",0
"planta_727",0
"planta_728",3
"planta_729",0
"planta_730",3
"planta_731",0
"planta_732",1
"planta_733",0
"planta_734",2
"planta_735",0
"planta_736",0
"planta_737",3
"planta_738",21
"planta_739",14
"planta_740",0
"planta_741",57
"planta_742",2
"planta_743",0
"planta_744",0
"planta_745",0
"planta_746",9
"planta_747",0
"planta_748",9
"planta_749",0
"planta_750",0
"planta_751",0
"planta_752",0
"planta_753",50
"planta_754",0
"planta_755",0
"planta_756",0
"planta_757",1
"planta_758",0
"planta_759",0
"planta_760",0
"planta_761",0
"planta_762",2
"planta_763",0
"planta_764",75
"planta_765",0
"planta_766",15
"planta_767",0
"planta_768",0
"planta_769",0
"planta_770",0
"planta_771",0
"planta_772",0
"planta_773",2
"planta_774",11
"planta_775",6
"planta_776",0
"planta_777",0
"planta_778",0
"planta_779",2
"planta_780",1
"planta_781",1
"planta_782",31
"planta_783",24
"planta_784",33
"planta_785",0
"planta_786",0
"planta_787",0
"planta_788",23
"planta_789",0
"planta_790",0
"planta_791",5
"planta_792",0
"planta_793",8
"planta_794",0
"planta_795",33
"planta_796",0
"planta_797",0
"planta_798",0
"planta_799",0
"planta_800",0
"planta_801",0
"planta_802",0
"planta_803",0
"planta_804",0
