"armadilha_id","N"
1,5
2,3
3,6
4,4
5,6
6,3
7,3
8,6
9,4
10,2
11,6
12,3
13,4
14,3
15,5
16,3
17,3
18,2
19,5
20,6
21,6
22,6
23,5
24,6
25,4
26,4
27,3
28,4
29,5
30,5
31,3
32,3
33,3
34,5
35,6
36,5
37,4
38,3
39,6
40,4
41,5
42,4
43,6
44,4
45,4
46,4
47,3
48,3
49,5
50,4
51,4
52,4
53,3
54,5
55,5
56,3
57,3
58,5
59,4
60,3
61,3
62,5
63,3
64,5
65,3
66,5
67,3
68,3
69,6
70,5
71,3
72,4
73,4
74,4
75,3
76,5
77,5
78,5
79,3
80,5
81,4
82,4
83,3
84,3
85,5
86,3
87,5
88,4
89,5
90,2
91,5
92,4
93,3
94,3
95,3
96,4
97,3
98,6
99,3
100,5
101,3
102,2
103,4
104,3
105,5
106,4
107,4
108,5
109,3
110,3
111,4
112,3
113,3
114,2
115,3
